time,battery_voltage,humidity,motion,temperature
2025-09-21 10:57:07.322256277+00:00,3.084,67.9,13052,26.47
2025-09-21 10:59:27.488309907+00:00,3.084,67.5,13057,26.5
2025-09-21 11:10:13.561555789+00:00,3.083,66.6,13062,26.49
2025-09-21 11:13:33.572781968+00:00,3.082,65.6,13065,26.49
2025-09-21 11:15:38.533444029+00:00,3.081,65.3,13068,26.53
2025-09-21 11:19:02.045349257+00:00,3.083,65.5,13070,26.55
2025-09-21 11:22:20.365192140+00:00,3.084,65.4,13072,26.61
2025-09-21 11:22:40.536459349+00:00,3.086,65.2,13073,26.61
2025-09-21 11:24:41.924077263+00:00,3.083,65.4,13075,26.57
2025-09-21 11:28:07.044475405+00:00,3.086,65.5,13078,26.58
2025-09-21 11:32:33.066558598+00:00,3.085,64.9,13079,26.6
2025-09-21 11:35:14.497073211+00:00,3.083,64.9,13087,26.61
2025-09-21 11:44:46.737049121+00:00,3.085,64.0,13089,26.61
2025-09-21 12:17:32.778904719+00:00,3.084,63.2,13094,26.96
2025-09-21 12:20:44.349001971+00:00,3.084,60.2,13095,26.98
2025-09-21 12:22:19.312800271+00:00,3.084,61.2,13098,27.02
2025-09-21 12:24:46.691608392+00:00,3.085,59.8,13099,27.02
2025-09-21 12:26:51.078065214+00:00,3.083,60.8,13106,27.05
2025-09-21 12:40:28.717967215+00:00,3.084,59.7,13110,27.09
2025-09-21 12:58:00.938567265+00:00,3.085,57.6,13114,27.39
2025-09-21 13:22:18.276399601+00:00,3.084,57.5,13116,27.3
2025-09-21 13:22:57.924948760+00:00,3.084,57.5,13117,27.29
2025-09-21 13:37:02.719790114+00:00,3.084,55.1,13131,27.22
2025-09-21 13:52:17.750750022+00:00,3.085,57.4,13132,27.09
2025-09-21 14:01:30.164341209+00:00,3.084,64.5,13133,26.6
2025-09-21 14:03:55.515877458+00:00,3.085,66.1,13137,26.26
2025-09-21 14:06:02.816594334+00:00,3.084,67.0,13145,26.06
2025-09-21 14:08:04.359106080+00:00,3.085,67.8,13160,26.09
2025-09-21 14:15:36.440501841+00:00,3.084,67.6,13166,26.18
2025-09-21 14:17:38.044564864+00:00,3.084,67.8,13185,26.13
2025-09-21 14:19:39.764193664+00:00,3.086,68.3,13208,26.13
2025-09-21 14:21:54.208682140+00:00,3.083,68.0,13229,26.12
2025-09-21 14:22:17.227307635+00:00,3.084,67.9,13234,26.13
2025-09-21 14:23:58.184699465+00:00,3.083,67.3,13248,26.12
2025-09-21 14:28:01.136563039+00:00,3.085,66.6,13295,26.09
2025-09-21 14:30:03.902521874+00:00,3.085,66.3,13317,26.09
2025-09-21 14:32:09.529787242+00:00,3.084,66.2,13333,26.07
2025-09-21 14:41:26.370987899+00:00,3.083,67.2,13334,26.03
2025-09-21 14:51:17.950044102+00:00,3.084,68.0,13344,26.06
2025-09-21 14:52:16.666913117+00:00,3.084,68.4,13355,26.05
2025-09-21 14:56:54.359659589+00:00,3.084,68.3,13362,26.07
2025-09-21 14:59:37.146059450+00:00,3.084,68.2,13364,26.13
2025-09-21 15:19:25.793486884+00:00,3.084,69.2,13371,26.13
2025-09-21 15:22:16.193444326+00:00,3.082,68.6,13376,26.07
2025-09-21 15:26:48.159614947+00:00,3.084,69.4,13377,26.07
2025-09-21 15:30:07.611590756+00:00,3.085,69.6,13382,26.06
2025-09-21 15:34:30.733128596+00:00,3.084,69.8,13387,26.06
2025-09-21 15:36:49.095168531+00:00,3.084,70.0,13396,26.06
2025-09-21 15:41:28.113549385+00:00,3.084,70.0,13404,26.06
2025-09-21 15:44:04.767519129+00:00,3.084,70.0,13407,26.06
2025-09-21 15:48:42.400016335+00:00,3.085,70.9,13409,26.03
2025-09-21 15:51:58.052860244+00:00,3.084,71.3,13414,25.99
2025-09-21 15:52:15.648056151+00:00,3.085,71.3,13414,26.0
2025-09-21 15:53:58.155366955+00:00,3.085,71.6,13422,25.93
2025-09-21 16:05:36.189271820+00:00,3.082,72.1,13525,26.02
2025-09-21 16:07:36.425756470+00:00,3.084,72.2,13549,25.99
2025-09-21 16:09:42.187827041+00:00,3.083,71.9,13560,26.02
2025-09-21 16:11:44.750538095+00:00,3.084,71.8,13583,26.03
2025-09-21 16:15:54.933907010+00:00,3.083,72.1,13632,26.05
2025-09-21 16:21:56.927109314+00:00,3.085,72.2,13660,26.06
2025-09-21 16:22:15.107539204+00:00,3.083,72.2,13664,26.07
2025-09-21 16:25:19.274826291+00:00,3.083,72.2,13671,26.07
2025-09-21 16:29:27.076640214+00:00,3.083,72.3,13698,26.09
2025-09-21 16:31:30.485716961+00:00,3.084,72.2,13701,26.07
2025-09-21 16:34:01.288850368+00:00,3.083,72.3,13707,26.12
2025-09-21 16:36:05.566222502+00:00,3.083,72.3,13716,26.09
2025-09-21 16:47:46.853480578+00:00,3.085,71.1,13727,26.13
2025-09-21 16:51:11.239270373+00:00,3.085,70.6,13735,26.15
2025-09-21 16:52:14.600117851+00:00,3.083,70.4,13738,26.13
2025-09-21 16:53:18.733112673+00:00,3.086,70.3,13743,26.15
2025-09-21 16:56:31.023229372+00:00,3.083,70.2,13747,26.13
2025-09-21 16:58:34.742185118+00:00,3.085,70.1,13760,26.12
2025-09-21 17:00:36.263568891+00:00,3.083,70.1,13772,26.13
2025-09-21 17:07:33.631919489+00:00,3.084,68.7,13787,26.07
2025-09-21 17:09:58.521239346+00:00,3.084,68.3,13795,26.09
2025-09-21 17:11:58.638576869+00:00,3.084,68.4,13814,26.06
2025-09-21 17:20:24.059886460+00:00,3.084,68.2,13883,26.09
2025-09-21 17:24:29.418222560+00:00,3.085,68.2,13910,26.11
